modelFileName,cost
1CFC_10_11_11.pdb,140531.25427
1CFC_10_12_2.pdb,88327.1829593
1CFC_10_13_1.pdb,13685.6406302
1CFC_10_14_7.pdb,100788.771595
1CFC_10_15_1.pdb,21451.3363041
1CFC_10_16_1.pdb,100346.102233
1CFC_10_17_2.pdb,45425.9173213
1CFC_10_18_1.pdb,82206.5899814
1CFC_10_19_1.pdb,100222.179949
1CFC_10_20_1.pdb,64279.9374957
1CFC_10_21_1.pdb,73776.3728087
1CFC_10_22_1.pdb,50403.9829171
1CFC_10_23_1.pdb,53154.8116005
1CFC_10_24_8.pdb,163550.735971
1CFC_10_25_1.pdb,57662.7426453
1CFC_11_13_5.pdb,143804.673515
1CFC_11_14_16.pdb,159912.721839
1CFC_11_15_11.pdb,102660.441284
1CFC_11_16_9.pdb,104843.904158
1CFC_11_18_9.pdb,103024.245965
1CFC_11_19_8.pdb,143289.858067
1CFC_11_20_6.pdb,110976.721116
1CFC_11_21_2.pdb,150889.926148
1CFC_11_22_8.pdb,114710.122974
1CFC_11_23_16.pdb,100660.772237
1CFC_11_24_2.pdb,51500.211871
1CFC_11_25_6.pdb,103225.15629
1CFC_12_13_2.pdb,135376.493623
1CFC_12_14_6.pdb,168274.644835
1CFC_12_15_2.pdb,62730.187063
1CFC_12_16_3.pdb,145531.142908
1CFC_12_17_1.pdb,64226.9843412
1CFC_12_18_2.pdb,76802.9868062
1CFC_12_19_7.pdb,178229.043433
1CFC_12_20_2.pdb,13922.0016238
1CFC_12_21_8.pdb,171237.602144
1CFC_12_22_3.pdb,174193.336803
1CFC_12_23_3.pdb,32868.7085403
1CFC_12_24_2.pdb,329419.329973
1CFC_12_25_2.pdb,22020.9544797
1CFC_13_14_2.pdb,60292.1123858
1CFC_13_15_1.pdb,36853.2095801
1CFC_13_16_1.pdb,105621.488774
1CFC_13_17_3.pdb,58287.5466203
1CFC_13_18_1.pdb,78985.5314868
1CFC_13_19_1.pdb,75957.1622866
1CFC_13_20_1.pdb,99067.7221437
1CFC_13_21_1.pdb,71785.4760255
1CFC_13_22_1.pdb,27997.8769606
1CFC_13_23_1.pdb,89059.3273122
1CFC_13_24_15.pdb,106562.12057
1CFC_13_25_1.pdb,98108.8269825
1CFC_14_15_2.pdb,132939.659526
1CFC_14_16_2.pdb,90719.5207753
1CFC_14_17_1.pdb,203263.785173
1CFC_14_18_2.pdb,98745.955163
1CFC_14_19_1.pdb,218633.675526
1CFC_14_20_2.pdb,147617.604008
1CFC_14_21_1.pdb,194056.672416
1CFC_14_22_2.pdb,38243.4540047
1CFC_14_23_2.pdb,152890.815496
1CFC_14_24_13.pdb,126298.585433
1CFC_14_25_2.pdb,160162.041986
1CFC_15_16_1.pdb,177546.821122
1CFC_15_17_2.pdb,90264.3659263
1CFC_15_18_1.pdb,41682.3857466
